Dataset Name,Archive Type,Proxy Type,Minimum Age,Maximum Age,Longitude,Latitude,Max Resolution,Min Resolution
463_RECALIBRATED_Lake_Logung__biogenic_opal,Sediment,Biogenic opal,727.9,2005.2,113.3074,-8.0421,61.60000000000002,0.0
464_RECALIBRATED_Lake_Logung__CorescannerXRFtitanium_concentration_,Sediment,Titanium,718.1,1996.4,113.3074,-8.0421,5.5,0.0
465_RECALIBRATED_Lake_Logung__CorescannerXRFiron_concentration,Sediment,Iron,718.1,1996.4,113.3074,-8.0421,5.5,0.0
466_RECALIBRATED_Lake_Logung__CorescannerXRFcati,Sediment,Calcium-titanium ratio,718.1,1996.4,113.3074,-8.0421,5.5,0.0
467_RECALIBRATED_Lake_Logung__CorescannerXRFsiti,Sediment,Silica-titanium ratio,718.1,1996.4,113.3074,-8.0421,45.699999999999996,0.0
468_RECALIBRATED_Lake_Logung__HandheldXRFtitanium_concentration_,Sediment,Titanium,1974.9,2007.1,113.3074,-8.0421,1.3000000000000043,0.30000000000000426
469_RECALIBRATED_Lake_Logung__HandheldXRFiron_concentration,Sediment,Iron,1974.9,2007.1,113.3074,-8.0421,1.3000000000000043,0.30000000000000426
470_RECALIBRATED_Lake_Logung__HandheldXRFcati,Sediment,Calcium-titanium ratio,1974.9,2007.1,113.3074,-8.0421,1.3000000000000043,0.30000000000000426
475_RECALIBRATED_Snowy_River_dust_deposition,Sediment,Dust deposition,-4578.0,1944.0,148.299,-36.463,72.0,2.0
476_RECALIBRATED_Upper_Ruined_Hut_dust_deposition,Sediment,Dust deposition,-4733.0,1962.0,169.202,-45.449,363.0,10.0
477_RECALIBRATED_Rebecca_Lagoon_degree_of_diagenesis,Sediment,Reflectance,-1137.0,2010.0,144.6833,-41.1833,21.0,0.0
478_RECALIBRATED_Western_Pacific_Warm_Pool_MD982176__mgca,Foraminifera,Magnesium-calcium ratio,-18488.0,1869.0,133.44,-5.0,351.0,0.0
479_RECALIBRATED_Western_Pacific_Warm_Pool_MD982176_d13C,Foraminifera,Delta-carbon-13,-18488.0,1869.0,133.44,-5.0,630.0,0.0
480_RECALIBRATED_Western_Pacific_Warm_Pool_MD982176__d18O,Foraminifera,Delta-oxygen-18,-18488.0,1869.0,133.44,-5.0,630.0,0.0
482_RECALIBRATED_Makassar_Strait_982177_northern__mgca,Foraminifera,Magnesium-calcium ratio,-157.0,1982.0,119.08,1.4,78.0,12.0
483_RECALIBRATED_Makassar_Strait_982177_northern__d18O,Foraminifera,Delta-oxygen-18,-157.0,1982.0,119.08,1.4,72.0,12.0
484_RECALIBRATED_Makassar_Strait_982160Newton__mgca,Foraminifera,Magnesium-calcium ratio,440.0,1929.0,117.49,-5.2,23.0,6.0
485_RECALIBRATED_Makassar_Strait_982160Newton__d18O,Foraminifera,Delta-oxygen-18,440.0,1929.0,117.49,-5.2,28.0,6.0
494_RECALIBRATED_Makassar_Strait_BJ80331__d18O,Foraminifera,Delta-oxygen-18,1663.9,1977.7,119.45,3.88,13.799999999999997,5.799999999999983
495_RECALIBRATED_Makassar_Strait_BJ80331__mgca,Foraminifera,Magnesium-calcium ratio,1663.9,1977.7,119.45,3.88,13.799999999999997,5.799999999999983
496_RECALIBRATED_Makassar_Strait_BJ80331__feca,Foraminifera,Iron-calcium ratio,1663.9,1977.7,119.45,3.88,13.799999999999997,5.799999999999983
497_RECALIBRATED_Makassar_Strait_BJ80331__alca,Foraminifera,Aluminium-calcium ratio,1663.9,1977.7,119.45,3.88,13.799999999999997,5.799999999999983
498_RECALIBRATED_Makassar_Strait_BJ80332_d18O,Foraminifera,Delta-oxygen-18,-106.0,1926.0,119.45,3.88,206.0,6.0
499_RECALIBRATED_Makassar_Strait_BJ80332_mgca,Foraminifera,Magnesium-calcium ratio,-106.0,1926.0,119.45,3.88,206.0,6.0
4_COO01E,Coral,Luminescence,1844.0,1985.0,146.18,-18.03,1.0,1.0
501_RECALIBRATED_Makassar_Strait_BJ80332_feca,Foraminifera,Iron-calcium ratio,-106.0,1926.0,119.45,3.88,206.0,6.0
503_RECALIBRATED_Makassar_Strait_BJ80332_d18Ohighres,Foraminifera,Delta-oxygen-18,-147.0,1919.0,119.45,3.88,49.0,3.0
504_RECALIBRATED_Makassar_Strait_BJ80334__mgca,Foraminifera,Magnesium-calcium ratio,-419.0,1575.0,119.45,3.88,63.0,4.0
505_RECALIBRATED_Makassar_Strait_BJ80334__mgca_+25,Foraminifera,Magnesium-calcium ratio,-419.0,1575.0,119.45,3.88,63.0,4.0
506_RECALIBRATED_Makassar_Strait_BJ80334__feca,Foraminifera,Iron-calcium ratio,-419.0,1575.0,119.45,3.88,63.0,4.0
507_RECALIBRATED_Makassar_Strait_BJ80334__alca,Foraminifera,Aluminium-calcium ratio,-419.0,1575.0,119.45,3.88,63.0,4.0
508_RECALIBRATED_Makassar_Strait_BJ80334__d18O,Foraminifera,Delta-oxygen-18,-419.0,1575.0,119.45,3.88,65.0,4.0
512_RECALIBRATED_Makassar_Strait_982160Oppo__d18O,Foraminifera,Delta-oxygen-18,815.0,1815.1,117.49,-5.2,25.600000000000023,8.099999999999994
513_RECALIBRATED_Makassar_Strait_982160Oppo__d18Ocalciteminus01,Foraminifera,Delta-oxygen-18,815.0,1815.1,117.49,-5.2,25.600000000000023,8.099999999999994
